Flows,Scheme,Run,Value
10,QSroute,1,0.004566
10,QSroute,2,0.005399
10,QSroute,3,0.005113
10,QSroute,4,0.004397
10,QSroute,5,0.004769
10,QSroute,6,0.005661
10,QSroute,7,0.004029
10,QSroute,8,0.004828
10,QSroute,9,0.005506
10,QSroute,10,0.004653
10,QSroute,11,0.004728
10,QSroute,12,0.004962
10,QSroute,13,0.005597
10,QSroute,14,0.004744
10,QSroute,15,0.004822
10,QSroute,16,0.004826
10,QSroute,17,0.005882
10,QSroute,18,0.005875
10,QSroute,19,0.005402
10,QSroute,20,0.005154
30,QSroute,1,0.015885
30,QSroute,2,0.016789
30,QSroute,3,0.013877
30,QSroute,4,0.016411
30,QSroute,5,0.013495
30,QSroute,6,0.014235
30,QSroute,7,0.016089
30,QSroute,8,0.013286
30,QSroute,9,0.014832
30,QSroute,10,0.013966
30,QSroute,11,0.014693
30,QSroute,12,0.011642
30,QSroute,13,0.012874
30,QSroute,14,0.01416
30,QSroute,15,0.016113
30,QSroute,16,0.014792
30,QSroute,17,0.015003
30,QSroute,18,0.015826
30,QSroute,19,0.013945
30,QSroute,20,0.01534
50,QSroute,1,0.029938
50,QSroute,2,0.027577
50,QSroute,3,0.030999
50,QSroute,4,0.033469
50,QSroute,5,0.032867
50,QSroute,6,0.03197
50,QSroute,7,0.038124
50,QSroute,8,0.033057
50,QSroute,9,0.034506
50,QSroute,10,0.03773
50,QSroute,11,0.028687
50,QSroute,12,0.029341
50,QSroute,13,0.036464
50,QSroute,14,0.029957
50,QSroute,15,0.032076
50,QSroute,16,0.034737
50,QSroute,17,0.03428
50,QSroute,18,0.036493
50,QSroute,19,0.035829
50,QSroute,20,0.034738
70,QSroute,1,0.040342
70,QSroute,2,0.045734
70,QSroute,3,0.044081
70,QSroute,4,0.038438
70,QSroute,5,0.047876
70,QSroute,6,0.045777
70,QSroute,7,0.043156
70,QSroute,8,0.042198
70,QSroute,9,0.038878
70,QSroute,10,0.043686
70,QSroute,11,0.044611
70,QSroute,12,0.040141
70,QSroute,13,0.046998
70,QSroute,14,0.039226
70,QSroute,15,0.035697
70,QSroute,16,0.046577
70,QSroute,17,0.041612
70,QSroute,18,0.042566
70,QSroute,19,0.040119
70,QSroute,20,0.037475
90,QSroute,1,0.05282
90,QSroute,2,0.045355
90,QSroute,3,0.054378
90,QSroute,4,0.0511
90,QSroute,5,0.046791
90,QSroute,6,0.04383
90,QSroute,7,0.045187
90,QSroute,8,0.043344
90,QSroute,9,0.056015
90,QSroute,10,0.048631
90,QSroute,11,0.052417
90,QSroute,12,0.043133
90,QSroute,13,0.048695
90,QSroute,14,0.052523
90,QSroute,15,0.046714
90,QSroute,16,0.051959
90,QSroute,17,0.043835
90,QSroute,18,0.042764
90,QSroute,19,0.049457
90,QSroute,20,0.046544
10,QARM,1,0.006308
10,QARM,2,0.005051
10,QARM,3,0.006342
10,QARM,4,0.007247
10,QARM,5,0.005988
10,QARM,6,0.006016
10,QARM,7,0.006086
10,QARM,8,0.005106
10,QARM,9,0.006205
10,QARM,10,0.005229
10,QARM,11,0.005795
10,QARM,12,0.006597
10,QARM,13,0.005647
10,QARM,14,0.006241
10,QARM,15,0.006486
10,QARM,16,0.006134
10,QARM,17,0.005342
10,QARM,18,0.00584
10,QARM,19,0.006941
10,QARM,20,0.005028
30,QARM,1,0.017603
30,QARM,2,0.017205
30,QARM,3,0.018174
30,QARM,4,0.019077
30,QARM,5,0.020317
30,QARM,6,0.017611
30,QARM,7,0.01917
30,QARM,8,0.01872
30,QARM,9,0.018683
30,QARM,10,0.017188
30,QARM,11,0.016564
30,QARM,12,0.016416
30,QARM,13,0.016911
30,QARM,14,0.018463
30,QARM,15,0.019096
30,QARM,16,0.018466
30,QARM,17,0.01721
30,QARM,18,0.020601
30,QARM,19,0.020187
30,QARM,20,0.01749
50,QARM,1,0.033629
50,QARM,2,0.036375
50,QARM,3,0.03965
50,QARM,4,0.036958
50,QARM,5,0.037603
50,QARM,6,0.035389
50,QARM,7,0.037314
50,QARM,8,0.040448
50,QARM,9,0.03531
50,QARM,10,0.036413
50,QARM,11,0.036731
50,QARM,12,0.036817
50,QARM,13,0.031934
50,QARM,14,0.030595
50,QARM,15,0.033063
50,QARM,16,0.036484
50,QARM,17,0.037595
50,QARM,18,0.034472
50,QARM,19,0.039967
50,QARM,20,0.035588
70,QARM,1,0.048078
70,QARM,2,0.047255
70,QARM,3,0.048515
70,QARM,4,0.050705
70,QARM,5,0.050556
70,QARM,6,0.04455
70,QARM,7,0.053851
70,QARM,8,0.043795
70,QARM,9,0.048304
70,QARM,10,0.046946
70,QARM,11,0.043972
70,QARM,12,0.047712
70,QARM,13,0.045155
70,QARM,14,0.04828
70,QARM,15,0.049548
70,QARM,16,0.053652
70,QARM,17,0.04918
70,QARM,18,0.045653
70,QARM,19,0.046496
70,QARM,20,0.048538
90,QARM,1,0.053396
90,QARM,2,0.059189
90,QARM,3,0.058916
90,QARM,4,0.051478
90,QARM,5,0.050674
90,QARM,6,0.042158
90,QARM,7,0.050673
90,QARM,8,0.048853
90,QARM,9,0.051496
90,QARM,10,0.05466
90,QARM,11,0.053751
90,QARM,12,0.052873
90,QARM,13,0.053846
90,QARM,14,0.052465
90,QARM,15,0.053835
90,QARM,16,0.0393
90,QARM,17,0.051858
90,QARM,18,0.05253
90,QARM,19,0.051553
90,QARM,20,0.052076
10,MCOP,1,0.007394
10,MCOP,2,0.006665
10,MCOP,3,0.008232
10,MCOP,4,0.007385
10,MCOP,5,0.006996
10,MCOP,6,0.006884
10,MCOP,7,0.006952
10,MCOP,8,0.006487
10,MCOP,9,0.006947
10,MCOP,10,0.007156
10,MCOP,11,0.007325
10,MCOP,12,0.007325
10,MCOP,13,0.006846
10,MCOP,14,0.006207
10,MCOP,15,0.006625
10,MCOP,16,0.007903
10,MCOP,17,0.007502
10,MCOP,18,0.007207
10,MCOP,19,0.006574
10,MCOP,20,0.007002
30,MCOP,1,0.017991
30,MCOP,2,0.019117
30,MCOP,3,0.019608
30,MCOP,4,0.019421
30,MCOP,5,0.021531
30,MCOP,6,0.01773
30,MCOP,7,0.018615
30,MCOP,8,0.0178
30,MCOP,9,0.01802
30,MCOP,10,0.020198
30,MCOP,11,0.017439
30,MCOP,12,0.021206
30,MCOP,13,0.019605
30,MCOP,14,0.02011
30,MCOP,15,0.020516
30,MCOP,16,0.019305
30,MCOP,17,0.021652
30,MCOP,18,0.019689
30,MCOP,19,0.020951
30,MCOP,20,0.019681
50,MCOP,1,0.042977
50,MCOP,2,0.04294
50,MCOP,3,0.04284
50,MCOP,4,0.038726
50,MCOP,5,0.043465
50,MCOP,6,0.040928
50,MCOP,7,0.044118
50,MCOP,8,0.034768
50,MCOP,9,0.037077
50,MCOP,10,0.043221
50,MCOP,11,0.048259
50,MCOP,12,0.044806
50,MCOP,13,0.039707
50,MCOP,14,0.036315
50,MCOP,15,0.044495
50,MCOP,16,0.041729
50,MCOP,17,0.043985
50,MCOP,18,0.042387
50,MCOP,19,0.0421
50,MCOP,20,0.051941
70,MCOP,1,0.054973
70,MCOP,2,0.054299
70,MCOP,3,0.054466
70,MCOP,4,0.052432
70,MCOP,5,0.059357
70,MCOP,6,0.053443
70,MCOP,7,0.057798
70,MCOP,8,0.056252
70,MCOP,9,0.060364
70,MCOP,10,0.056849
70,MCOP,11,0.049661
70,MCOP,12,0.049163
70,MCOP,13,0.061197
70,MCOP,14,0.052322
70,MCOP,15,0.049189
70,MCOP,16,0.052054
70,MCOP,17,0.060564
70,MCOP,18,0.048751
70,MCOP,19,0.051187
70,MCOP,20,0.052066
90,MCOP,1,0.053994
90,MCOP,2,0.054315
90,MCOP,3,0.052713
90,MCOP,4,0.057786
90,MCOP,5,0.058296
90,MCOP,6,0.056724
90,MCOP,7,0.052062
90,MCOP,8,0.066016
90,MCOP,9,0.05362
90,MCOP,10,0.061335
90,MCOP,11,0.054841
90,MCOP,12,0.063208
90,MCOP,13,0.064588
90,MCOP,14,0.055787
90,MCOP,15,0.050766
90,MCOP,16,0.06334
90,MCOP,17,0.069004
90,MCOP,18,0.061995
