Flows,Scheme,Run,Value
10,QSroute,1,0.004491
10,QSroute,2,0.00383
10,QSroute,3,0.003843
10,QSroute,4,0.003581
10,QSroute,5,0.003997
10,QSroute,6,0.004313
10,QSroute,7,0.00344
10,QSroute,8,0.003787
10,QSroute,9,0.004012
10,QSroute,10,0.004272
10,QSroute,11,0.004123
10,QSroute,12,0.004104
10,QSroute,13,0.003928
10,QSroute,14,0.004154
10,QSroute,15,0.004325
10,QSroute,16,0.003453
10,QSroute,17,0.004233
10,QSroute,18,0.003968
10,QSroute,19,0.00383
10,QSroute,20,0.003218
30,QSroute,1,0.012454
30,QSroute,2,0.015902
30,QSroute,3,0.013229
30,QSroute,4,0.012785
30,QSroute,5,0.013489
30,QSroute,6,0.013165
30,QSroute,7,0.014139
30,QSroute,8,0.015699
30,QSroute,9,0.013343
30,QSroute,10,0.014173
30,QSroute,11,0.012715
30,QSroute,12,0.015703
30,QSroute,13,0.014212
30,QSroute,14,0.012788
30,QSroute,15,0.015013
30,QSroute,16,0.015344
30,QSroute,17,0.014181
30,QSroute,18,0.012164
30,QSroute,19,0.015999
30,QSroute,20,0.014347
50,QSroute,1,0.032809
50,QSroute,2,0.028678
50,QSroute,3,0.029043
50,QSroute,4,0.030265
50,QSroute,5,0.032672
50,QSroute,6,0.030343
50,QSroute,7,0.026984
50,QSroute,8,0.030629
50,QSroute,9,0.033911
50,QSroute,10,0.030158
50,QSroute,11,0.030311
50,QSroute,12,0.02697
50,QSroute,13,0.026633
50,QSroute,14,0.02847
50,QSroute,15,0.029216
50,QSroute,16,0.03025
50,QSroute,17,0.030398
50,QSroute,18,0.033845
50,QSroute,19,0.030141
50,QSroute,20,0.032555
70,QSroute,1,0.03788
70,QSroute,2,0.042405
70,QSroute,3,0.032314
70,QSroute,4,0.03618
70,QSroute,5,0.040988
70,QSroute,6,0.037478
70,QSroute,7,0.040832
70,QSroute,8,0.039171
70,QSroute,9,0.040875
70,QSroute,10,0.039864
70,QSroute,11,0.040048
70,QSroute,12,0.042537
70,QSroute,13,0.040999
70,QSroute,14,0.041021
70,QSroute,15,0.038062
70,QSroute,16,0.036231
70,QSroute,17,0.035995
70,QSroute,18,0.040283
70,QSroute,19,0.030587
70,QSroute,20,0.034026
90,QSroute,1,0.044301
90,QSroute,2,0.047049
90,QSroute,3,0.037895
90,QSroute,4,0.052833
90,QSroute,5,0.050305
90,QSroute,6,0.055621
90,QSroute,7,0.052079
90,QSroute,8,0.051957
90,QSroute,9,0.056643
90,QSroute,10,0.045808
90,QSroute,11,0.042227
90,QSroute,12,0.047108
90,QSroute,13,0.044832
90,QSroute,14,0.047014
90,QSroute,15,0.043967
90,QSroute,16,0.050181
90,QSroute,17,0.04997
90,QSroute,18,0.047897
90,QSroute,19,0.049196
90,QSroute,20,0.047455
10,QARM,1,0.005301
10,QARM,2,0.005028
10,QARM,3,0.004894
10,QARM,4,0.005372
10,QARM,5,0.005504
10,QARM,6,0.005535
10,QARM,7,0.004604
10,QARM,8,0.004786
10,QARM,9,0.004319
10,QARM,10,0.004905
10,QARM,11,0.005166
10,QARM,12,0.004947
10,QARM,13,0.005772
10,QARM,14,0.004838
10,QARM,15,0.004565
10,QARM,16,0.005227
10,QARM,17,0.00506
10,QARM,18,0.00522
10,QARM,19,0.005122
10,QARM,20,0.005098
30,QARM,1,0.014114
30,QARM,2,0.016012
30,QARM,3,0.016197
30,QARM,4,0.016527
30,QARM,5,0.01639
30,QARM,6,0.017561
30,QARM,7,0.017817
30,QARM,8,0.015461
30,QARM,9,0.017934
30,QARM,10,0.017797
30,QARM,11,0.017633
30,QARM,12,0.015072
30,QARM,13,0.017599
30,QARM,14,0.017112
30,QARM,15,0.018307
30,QARM,16,0.019427
30,QARM,17,0.01916
30,QARM,18,0.017153
30,QARM,19,0.016997
30,QARM,20,0.017859
50,QARM,1,0.031878
50,QARM,2,0.030938
50,QARM,3,0.033677
50,QARM,4,0.038418
50,QARM,5,0.034073
50,QARM,6,0.039207
50,QARM,7,0.027193
50,QARM,8,0.030556
50,QARM,9,0.034654
50,QARM,10,0.037487
50,QARM,11,0.034805
50,QARM,12,0.034732
50,QARM,13,0.034659
50,QARM,14,0.030064
50,QARM,15,0.038243
50,QARM,16,0.033088
50,QARM,17,0.038051
50,QARM,18,0.034803
50,QARM,19,0.037991
50,QARM,20,0.035961
70,QARM,1,0.04759
70,QARM,2,0.048869
70,QARM,3,0.042344
70,QARM,4,0.048023
70,QARM,5,0.05459
70,QARM,6,0.053023
70,QARM,7,0.044218
70,QARM,8,0.049942
70,QARM,9,0.048952
70,QARM,10,0.051138
70,QARM,11,0.048362
70,QARM,12,0.047103
70,QARM,13,0.05311
70,QARM,14,0.048831
70,QARM,15,0.052821
70,QARM,16,0.051742
70,QARM,17,0.046754
70,QARM,18,0.047359
70,QARM,19,0.055411
70,QARM,20,0.048735
90,QARM,1,0.048844
90,QARM,2,0.047008
90,QARM,3,0.056052
90,QARM,4,0.052667
90,QARM,5,0.048705
90,QARM,6,0.054806
90,QARM,7,0.052665
90,QARM,8,0.045092
90,QARM,9,0.054449
90,QARM,10,0.057546
90,QARM,11,0.062649
90,QARM,12,0.052145
90,QARM,13,0.052968
90,QARM,14,0.058683
90,QARM,15,0.052702
90,QARM,16,0.053145
90,QARM,17,0.049377
90,QARM,18,0.046199
90,QARM,19,0.055797
90,QARM,20,0.046702
10,MCOP,1,0.006548
10,MCOP,2,0.005622
10,MCOP,3,0.006127
10,MCOP,4,0.005821
10,MCOP,5,0.006564
10,MCOP,6,0.006144
10,MCOP,7,0.00694
10,MCOP,8,0.00548
10,MCOP,9,0.006199
10,MCOP,10,0.006023
10,MCOP,11,0.006134
10,MCOP,12,0.006766
10,MCOP,13,0.006281
10,MCOP,14,0.005449
10,MCOP,15,0.006256
10,MCOP,16,0.005801
10,MCOP,17,0.005773
10,MCOP,18,0.006502
10,MCOP,19,0.005711
10,MCOP,20,0.005818
30,MCOP,1,0.020052
30,MCOP,2,0.021514
30,MCOP,3,0.020931
30,MCOP,4,0.019625
30,MCOP,5,0.019565
30,MCOP,6,0.018144
30,MCOP,7,0.018784
30,MCOP,8,0.018953
30,MCOP,9,0.019761
30,MCOP,10,0.023179
30,MCOP,11,0.018919
30,MCOP,12,0.019527
30,MCOP,13,0.016716
30,MCOP,14,0.020961
30,MCOP,15,0.017476
30,MCOP,16,0.018549
30,MCOP,17,0.021668
30,MCOP,18,0.016632
30,MCOP,19,0.020153
30,MCOP,20,0.021281
50,MCOP,1,0.044881
50,MCOP,2,0.037056
50,MCOP,3,0.038003
50,MCOP,4,0.045774
50,MCOP,5,0.03992
50,MCOP,6,0.037644
50,MCOP,7,0.037704
50,MCOP,8,0.036888
50,MCOP,9,0.038593
50,MCOP,10,0.043482
50,MCOP,11,0.042841
50,MCOP,12,0.036242
50,MCOP,13,0.040687
50,MCOP,14,0.038713
50,MCOP,15,0.042504
50,MCOP,16,0.0395
50,MCOP,17,0.041189
50,MCOP,18,0.039492
50,MCOP,19,0.033001
50,MCOP,20,0.04015
70,MCOP,1,0.047608
70,MCOP,2,0.056168
70,MCOP,3,0.050118
70,MCOP,4,0.050435
70,MCOP,5,0.052962
70,MCOP,6,0.05545
70,MCOP,7,0.05228
70,MCOP,8,0.059963
70,MCOP,9,0.059991
70,MCOP,10,0.060274
70,MCOP,11,0.052006
70,MCOP,12,0.046716
70,MCOP,13,0.058173
70,MCOP,14,0.051235
70,MCOP,15,0.053162
70,MCOP,16,0.055664
70,MCOP,17,0.046197
70,MCOP,18,0.059907
70,MCOP,19,0.05671
70,MCOP,20,0.054494
90,MCOP,1,0.064276
90,MCOP,2,0.062673
90,MCOP,3,0.060561
90,MCOP,4,0.058523
90,MCOP,5,0.056452
90,MCOP,6,0.061379
90,MCOP,7,0.061734
90,MCOP,8,0.065199
90,MCOP,9,0.060963
90,MCOP,10,0.055905
90,MCOP,11,0.052434
90,MCOP,12,0.059388
