Flows,Scheme,Run,Value
10,QSroute,1,0.001981
10,QSroute,2,0.001679
10,QSroute,3,0.001853
10,QSroute,4,0.002027
10,QSroute,5,0.001789
10,QSroute,6,0.002203
10,QSroute,7,0.002079
10,QSroute,8,0.001918
10,QSroute,9,0.001965
10,QSroute,10,0.002298
10,QSroute,11,0.00215
10,QSroute,12,0.002061
10,QSroute,13,0.001774
10,QSroute,14,0.002261
10,QSroute,15,0.002168
10,QSroute,16,0.001976
10,QSroute,17,0.001912
10,QSroute,18,0.00197
10,QSroute,19,0.001808
10,QSroute,20,0.001925
30,QSroute,1,0.006366
30,QSroute,2,0.005132
30,QSroute,3,0.005849
30,QSroute,4,0.006055
30,QSroute,5,0.00605
30,QSroute,6,0.005434
30,QSroute,7,0.005433
30,QSroute,8,0.006523
30,QSroute,9,0.005412
30,QSroute,10,0.006484
30,QSroute,11,0.005768
30,QSroute,12,0.006518
30,QSroute,13,0.005798
30,QSroute,14,0.00544
30,QSroute,15,0.006411
30,QSroute,16,0.005992
30,QSroute,17,0.006695
30,QSroute,18,0.006428
30,QSroute,19,0.00589
30,QSroute,20,0.005784
50,QSroute,1,0.006512
50,QSroute,2,0.006599
50,QSroute,3,0.006041
50,QSroute,4,0.006938
50,QSroute,5,0.006293
50,QSroute,6,0.00628
50,QSroute,7,0.006219
50,QSroute,8,0.00662
50,QSroute,9,0.00614
50,QSroute,10,0.00657
50,QSroute,11,0.007939
50,QSroute,12,0.006472
50,QSroute,13,0.006274
50,QSroute,14,0.005633
50,QSroute,15,0.006526
50,QSroute,16,0.005923
50,QSroute,17,0.006305
50,QSroute,18,0.006579
50,QSroute,19,0.0056
50,QSroute,20,0.006582
70,QSroute,1,0.007375
70,QSroute,2,0.006453
70,QSroute,3,0.006974
70,QSroute,4,0.006146
70,QSroute,5,0.008107
70,QSroute,6,0.00739
70,QSroute,7,0.007097
70,QSroute,8,0.007106
70,QSroute,9,0.007852
70,QSroute,10,0.007146
70,QSroute,11,0.007391
70,QSroute,12,0.008075
70,QSroute,13,0.007001
70,QSroute,14,0.006571
70,QSroute,15,0.006725
70,QSroute,16,0.008023
70,QSroute,17,0.007253
70,QSroute,18,0.006911
70,QSroute,19,0.007761
70,QSroute,20,0.007775
90,QSroute,1,0.007503
90,QSroute,2,0.007194
90,QSroute,3,0.00682
90,QSroute,4,0.006681
90,QSroute,5,0.007635
90,QSroute,6,0.007243
90,QSroute,7,0.00896
90,QSroute,8,0.007837
90,QSroute,9,0.006588
90,QSroute,10,0.008685
90,QSroute,11,0.007901
90,QSroute,12,0.00824
90,QSroute,13,0.008226
90,QSroute,14,0.007985
90,QSroute,15,0.008127
90,QSroute,16,0.007949
90,QSroute,17,0.00711
90,QSroute,18,0.008029
90,QSroute,19,0.008439
90,QSroute,20,0.007669
10,QARM,1,0.00261
10,QARM,2,0.002584
10,QARM,3,0.002863
10,QARM,4,0.002449
10,QARM,5,0.002442
10,QARM,6,0.002477
10,QARM,7,0.00248
10,QARM,8,0.002045
10,QARM,9,0.002371
10,QARM,10,0.00256
10,QARM,11,0.002498
10,QARM,12,0.00234
10,QARM,13,0.002367
10,QARM,14,0.002429
10,QARM,15,0.00234
10,QARM,16,0.002397
10,QARM,17,0.002392
10,QARM,18,0.002679
10,QARM,19,0.002703
10,QARM,20,0.002687
30,QARM,1,0.007032
30,QARM,2,0.006415
30,QARM,3,0.007322
30,QARM,4,0.006629
30,QARM,5,0.006813
30,QARM,6,0.007528
30,QARM,7,0.006846
30,QARM,8,0.006935
30,QARM,9,0.006031
30,QARM,10,0.007065
30,QARM,11,0.006267
30,QARM,12,0.00735
30,QARM,13,0.0067
30,QARM,14,0.005584
30,QARM,15,0.006605
30,QARM,16,0.006676
30,QARM,17,0.007064
30,QARM,18,0.007165
30,QARM,19,0.006622
30,QARM,20,0.007351
50,QARM,1,0.0056
50,QARM,2,0.007072
50,QARM,3,0.006833
50,QARM,4,0.006747
50,QARM,5,0.008076
50,QARM,6,0.007998
50,QARM,7,0.007035
50,QARM,8,0.008207
50,QARM,9,0.007561
50,QARM,10,0.007247
50,QARM,11,0.007084
50,QARM,12,0.007033
50,QARM,13,0.007784
50,QARM,14,0.00789
50,QARM,15,0.007643
50,QARM,16,0.00627
50,QARM,17,0.007678
50,QARM,18,0.007839
50,QARM,19,0.007098
50,QARM,20,0.007526
70,QARM,1,0.006637
70,QARM,2,0.007032
70,QARM,3,0.007598
70,QARM,4,0.007607
70,QARM,5,0.008019
70,QARM,6,0.007059
70,QARM,7,0.007587
70,QARM,8,0.007494
70,QARM,9,0.008129
70,QARM,10,0.008687
70,QARM,11,0.008874
70,QARM,12,0.006821
70,QARM,13,0.00777
70,QARM,14,0.007106
70,QARM,15,0.00776
70,QARM,16,0.008064
70,QARM,17,0.007851
70,QARM,18,0.007769
70,QARM,19,0.008725
70,QARM,20,0.00825
90,QARM,1,0.008315
90,QARM,2,0.008516
90,QARM,3,0.009092
90,QARM,4,0.008915
90,QARM,5,0.008211
90,QARM,6,0.007293
90,QARM,7,0.007694
90,QARM,8,0.008599
90,QARM,9,0.007285
90,QARM,10,0.008396
90,QARM,11,0.008192
90,QARM,12,0.009179
90,QARM,13,0.007604
90,QARM,14,0.007186
90,QARM,15,0.008215
90,QARM,16,0.008932
90,QARM,17,0.009228
90,QARM,18,0.007882
90,QARM,19,0.00882
90,QARM,20,0.007744
10,MCOP,1,0.00282
10,MCOP,2,0.003136
10,MCOP,3,0.003172
10,MCOP,4,0.00276
10,MCOP,5,0.003114
10,MCOP,6,0.002552
10,MCOP,7,0.002951
10,MCOP,8,0.002728
10,MCOP,9,0.002806
10,MCOP,10,0.002694
10,MCOP,11,0.003133
10,MCOP,12,0.003133
10,MCOP,13,0.002834
10,MCOP,14,0.00309
10,MCOP,15,0.003063
10,MCOP,16,0.002969
10,MCOP,17,0.003518
10,MCOP,18,0.002798
10,MCOP,19,0.003003
10,MCOP,20,0.002908
30,MCOP,1,0.007762
30,MCOP,2,0.008102
30,MCOP,3,0.007812
30,MCOP,4,0.007449
30,MCOP,5,0.00808
30,MCOP,6,0.008757
30,MCOP,7,0.008603
30,MCOP,8,0.00813
30,MCOP,9,0.007529
30,MCOP,10,0.008119
30,MCOP,11,0.008694
30,MCOP,12,0.008762
30,MCOP,13,0.00823
30,MCOP,14,0.007767
30,MCOP,15,0.00787
30,MCOP,16,0.008494
30,MCOP,17,0.008439
30,MCOP,18,0.006875
30,MCOP,19,0.008422
30,MCOP,20,0.008455
50,MCOP,1,0.008175
50,MCOP,2,0.008261
50,MCOP,3,0.008267
50,MCOP,4,0.008321
50,MCOP,5,0.007803
50,MCOP,6,0.00902
50,MCOP,7,0.008247
50,MCOP,8,0.00875
50,MCOP,9,0.00845
50,MCOP,10,0.00898
50,MCOP,11,0.008089
50,MCOP,12,0.008973
50,MCOP,13,0.009074
50,MCOP,14,0.009383
50,MCOP,15,0.010185
50,MCOP,16,0.007327
50,MCOP,17,0.009026
50,MCOP,18,0.008301
50,MCOP,19,0.007445
50,MCOP,20,0.009393
70,MCOP,1,0.009627
70,MCOP,2,0.008427
70,MCOP,3,0.008847
70,MCOP,4,0.008655
70,MCOP,5,0.009002
70,MCOP,6,0.009313
70,MCOP,7,0.00894
70,MCOP,8,0.008941
70,MCOP,9,0.009577
70,MCOP,10,0.008585
70,MCOP,11,0.009342
70,MCOP,12,0.008128
70,MCOP,13,0.009819
70,MCOP,14,0.009214
70,MCOP,15,0.008419
70,MCOP,16,0.007228
70,MCOP,17,0.0087
70,MCOP,18,0.007877
70,MCOP,19,0.008909
70,MCOP,20,0.00971
90,MCOP,1,0.009115
90,MCOP,2,0.008872
90,MCOP,3,0.009246
90,MCOP,4,0.009206
90,MCOP,5,0.007299
90,MCOP,6,0.009173
90,MCOP,7,0.009447
90,MCOP,8,0.008813
90,MCOP,9,0.009705
90,MCOP,10,0.008908
90,MCOP,11,0.009552
90,MCOP,12,0.010637
90,MCOP,13,0.008931
90,MCOP,14,0.007602
90,MCOP,15,0.008758
90,MCOP,16,0.007757
90,MCOP,17,0.00944
90,MCOP,18,0.009943
90,MCOP,19,0.009501
90,MCOP,20,0.009231
10,DSP,1,0.001423
10,DSP,2,0.001689
10,DSP,3,0.00159
10,DSP,4,0.001534
10,DSP,5,0.001525
10,DSP,6,0.001513
10,DSP,7,0.001554
10,DSP,8,0.001426
10,DSP,9,0.001683
10,DSP,10,0.001518
10,DSP,11,0.001572
10,DSP,12,0.001448
10,DSP,13,0.001545
10,DSP,14,0.001226
10,DSP,15,0.001366
10,DSP,16,0.001496
10,DSP,17,0.001341
10,DSP,18,0.001793
10,DSP,19,0.0013
10,DSP,20,0.001542
30,DSP,1,0.006568
30,DSP,2,0.006023
30,DSP,3,0.005656
30,DSP,4,0.005544
30,DSP,5,0.006112
30,DSP,6,0.005429
30,DSP,7,0.005745
30,DSP,8,0.006121
30,DSP,9,0.005657
30,DSP,10,0.005841
30,DSP,11,0.005659
30,DSP,12,0.00535
30,DSP,13,0.006352
30,DSP,14,0.006446
30,DSP,15,0.005653
30,DSP,16,0.005677
30,DSP,17,0.005717
30,DSP,18,0.00605
30,DSP,19,0.00538
30,DSP,20,0.005759
50,DSP,1,0.006841
50,DSP,2,0.007044
50,DSP,3,0.005209
50,DSP,4,0.006916
50,DSP,5,0.006885
50,DSP,6,0.00724
50,DSP,7,0.006418
50,DSP,8,0.006422
50,DSP,9,0.007345
50,DSP,10,0.005862
50,DSP,11,0.007573
50,DSP,12,0.00807
50,DSP,13,0.006956
50,DSP,14,0.007136
50,DSP,15,0.005902
50,DSP,16,0.006328
50,DSP,17,0.007267
50,DSP,18,0.006894
50,DSP,19,0.006603
50,DSP,20,0.006825
70,DSP,1,0.007804
70,DSP,2,0.007324
70,DSP,3,0.007483
70,DSP,4,0.007478
70,DSP,5,0.006869
70,DSP,6,0.007694
70,DSP,7,0.008582
70,DSP,8,0.008539
70,DSP,9,0.006614
70,DSP,10,0.007842
70,DSP,11,0.007905
70,DSP,12,0.007254
70,DSP,13,0.006921
70,DSP,14,0.006708
70,DSP,15,0.007233
70,DSP,16,0.00771
70,DSP,17,0.007405
70,DSP,18,0.007133
70,DSP,19,0.006751
70,DSP,20,0.00771
90,DSP,1,0.008574
90,DSP,2,0.007314
90,DSP,3,0.008183
90,DSP,4,0.006712
90,DSP,5,0.007484
90,DSP,6,0.008361
90,DSP,7,0.007194
90,DSP,8,0.007518
90,DSP,9,0.008796
90,DSP,10,0.007437
90,DSP,11,0.00736
90,DSP,12,0.008264
90,DSP,13,0.009135
90,DSP,14,0.007749
90,DSP,15,0.008386
90,DSP,16,0.008751
90,DSP,17,0.008106
90,DSP,18,0.007729
90,DSP,19,0.007346
90,DSP,20,0.006999
