Flows,Scheme,Run,Value
10,QSroute,1,8.753212
10,QSroute,2,9.479422
10,QSroute,3,8.764235
10,QSroute,4,9.245695
10,QSroute,5,8.745354
10,QSroute,6,9.154424
10,QSroute,7,9.237664
10,QSroute,8,9.443625
10,QSroute,9,9.644958
10,QSroute,10,9.589603
10,QSroute,11,8.761423
10,QSroute,12,8.933842
10,QSroute,13,8.471914
10,QSroute,14,8.893942
10,QSroute,15,9.010943
10,QSroute,16,8.818218
10,QSroute,17,8.773387
10,QSroute,18,9.464436
10,QSroute,19,9.408367
10,QSroute,20,9.179605
30,QSroute,1,11.233494
30,QSroute,2,12.120559
30,QSroute,3,11.769461
30,QSroute,4,12.789436
30,QSroute,5,10.918626
30,QSroute,6,11.664706
30,QSroute,7,11.64801
30,QSroute,8,11.720056
30,QSroute,9,12.574547
30,QSroute,10,10.588585
30,QSroute,11,11.875169
30,QSroute,12,12.510432
30,QSroute,13,12.588071
30,QSroute,14,11.670553
30,QSroute,15,11.592133
30,QSroute,16,12.207728
30,QSroute,17,12.090622
30,QSroute,18,12.041642
30,QSroute,19,9.719173
30,QSroute,20,11.323697
50,QSroute,1,13.395744
50,QSroute,2,14.450107
50,QSroute,3,12.991468
50,QSroute,4,13.267361
50,QSroute,5,13.891931
50,QSroute,6,13.098683
50,QSroute,7,14.449998
50,QSroute,8,13.726017
50,QSroute,9,15.283034
50,QSroute,10,13.559197
50,QSroute,11,13.596602
50,QSroute,12,14.563107
50,QSroute,13,13.541264
50,QSroute,14,15.058098
50,QSroute,15,14.33804
50,QSroute,16,13.787284
50,QSroute,17,13.887441
50,QSroute,18,15.995495
50,QSroute,19,14.342058
50,QSroute,20,14.105334
70,QSroute,1,17.880681
70,QSroute,2,18.933446
70,QSroute,3,16.633506
70,QSroute,4,17.836931
70,QSroute,5,15.449708
70,QSroute,6,17.519933
70,QSroute,7,18.763134
70,QSroute,8,19.244008
70,QSroute,9,18.545373
70,QSroute,10,18.575972
70,QSroute,11,16.455689
70,QSroute,12,17.389464
70,QSroute,13,19.326965
70,QSroute,14,17.528526
70,QSroute,15,17.877616
70,QSroute,16,17.274994
70,QSroute,17,17.159624
70,QSroute,18,17.576758
70,QSroute,19,17.40505
70,QSroute,20,18.861752
90,QSroute,1,22.236907
90,QSroute,2,23.120772
90,QSroute,3,20.474039
90,QSroute,4,23.347998
90,QSroute,5,22.023602
90,QSroute,6,24.023283
90,QSroute,7,21.941946
90,QSroute,8,20.357258
90,QSroute,9,23.412643
90,QSroute,10,21.849863
90,QSroute,11,19.632673
90,QSroute,12,22.159714
90,QSroute,13,22.254351
90,QSroute,14,23.183724
90,QSroute,15,18.053757
90,QSroute,16,23.263756
90,QSroute,17,21.477944
90,QSroute,18,24.118873
90,QSroute,19,20.109891
90,QSroute,20,22.599873
10,QARM,1,8.674981
10,QARM,2,8.320601
10,QARM,3,8.171132
10,QARM,4,8.341158
10,QARM,5,8.352644
10,QARM,6,7.967289
10,QARM,7,8.922022
10,QARM,8,8.035815
10,QARM,9,8.934856
10,QARM,10,7.739703
10,QARM,11,8.424694
10,QARM,12,8.43102
10,QARM,13,8.493287
10,QARM,14,8.906426
10,QARM,15,8.414002
10,QARM,16,8.30538
10,QARM,17,8.415286
10,QARM,18,8.916928
10,QARM,19,7.987617
10,QARM,20,8.066216
30,QARM,1,9.923816
30,QARM,2,12.114987
30,QARM,3,10.36214
30,QARM,4,9.963013
30,QARM,5,10.555105
30,QARM,6,10.66315
30,QARM,7,11.806001
30,QARM,8,10.744305
30,QARM,9,11.160473
30,QARM,10,10.015071
30,QARM,11,11.114391
30,QARM,12,10.093162
30,QARM,13,10.827523
30,QARM,14,10.582071
30,QARM,15,11.032049
30,QARM,16,11.348925
30,QARM,17,10.265257
30,QARM,18,10.37497
30,QARM,19,11.106474
30,QARM,20,11.378007
50,QARM,1,13.921294
50,QARM,2,12.69327
50,QARM,3,12.030539
50,QARM,4,13.121307
50,QARM,5,12.483482
50,QARM,6,12.399127
50,QARM,7,13.915315
50,QARM,8,13.402166
50,QARM,9,12.526749
50,QARM,10,12.987838
50,QARM,11,12.94431
50,QARM,12,13.107312
50,QARM,13,12.736139
50,QARM,14,11.764959
50,QARM,15,12.365372
50,QARM,16,12.654202
50,QARM,17,13.018273
50,QARM,18,12.296509
50,QARM,19,13.121085
50,QARM,20,12.752174
70,QARM,1,17.316472
70,QARM,2,16.856751
70,QARM,3,18.401842
70,QARM,4,18.381819
70,QARM,5,18.720199
70,QARM,6,18.494359
70,QARM,7,18.561721
70,QARM,8,18.343871
70,QARM,9,16.417431
70,QARM,10,17.748793
70,QARM,11,16.710856
70,QARM,12,19.232291
70,QARM,13,17.987388
70,QARM,14,19.14278
70,QARM,15,17.07271
70,QARM,16,17.917318
70,QARM,17,18.237037
70,QARM,18,17.702188
70,QARM,19,18.16901
70,QARM,20,19.333947
90,QARM,1,19.916491
90,QARM,2,18.230181
90,QARM,3,22.680655
90,QARM,4,20.168755
90,QARM,5,22.178625
90,QARM,6,21.684509
90,QARM,7,20.772479
90,QARM,8,21.399362
90,QARM,9,19.802439
90,QARM,10,21.090192
90,QARM,11,21.623742
90,QARM,12,20.186951
90,QARM,13,20.600694
90,QARM,14,21.328223
90,QARM,15,22.389437
90,QARM,16,20.996687
90,QARM,17,20.547807
90,QARM,18,20.846263
90,QARM,19,22.218185
90,QARM,20,20.326412
10,MCOP,1,8.076905
10,MCOP,2,7.940773
10,MCOP,3,8.11623
10,MCOP,4,8.287615
10,MCOP,5,8.62389
10,MCOP,6,7.328924
10,MCOP,7,8.42775
10,MCOP,8,7.834448
10,MCOP,9,8.443159
10,MCOP,10,8.70825
10,MCOP,11,8.608194
10,MCOP,12,8.264763
10,MCOP,13,8.542145
10,MCOP,14,7.813213
10,MCOP,15,8.17219
10,MCOP,16,8.822983
10,MCOP,17,7.876405
10,MCOP,18,8.28088
10,MCOP,19,8.048638
10,MCOP,20,8.120006
30,MCOP,1,10.203036
30,MCOP,2,9.865241
30,MCOP,3,9.998295
30,MCOP,4,9.747708
30,MCOP,5,9.087486
30,MCOP,6,10.096547
30,MCOP,7,10.219735
30,MCOP,8,10.691087
30,MCOP,9,9.934067
30,MCOP,10,9.302646
30,MCOP,11,9.622996
30,MCOP,12,10.270196
30,MCOP,13,9.957735
30,MCOP,14,10.139645
30,MCOP,15,9.82346
30,MCOP,16,10.934904
30,MCOP,17,10.863994
30,MCOP,18,9.534202
30,MCOP,19,10.454515
30,MCOP,20,10.152031
50,MCOP,1,12.008136
50,MCOP,2,11.484187
50,MCOP,3,12.972918
50,MCOP,4,12.699155
50,MCOP,5,11.12574
50,MCOP,6,12.830095
50,MCOP,7,11.976973
50,MCOP,8,11.641326
50,MCOP,9,11.414053
50,MCOP,10,12.566892
50,MCOP,11,12.239937
50,MCOP,12,11.475512
50,MCOP,13,11.513341
50,MCOP,14,11.767486
50,MCOP,15,11.692496
50,MCOP,16,12.316668
50,MCOP,17,12.227242
50,MCOP,18,11.61861
50,MCOP,19,11.005494
50,MCOP,20,11.1996
70,MCOP,1,16.696044
70,MCOP,2,15.204152
70,MCOP,3,16.088908
70,MCOP,4,14.589474
70,MCOP,5,16.317648
70,MCOP,6,17.535621
70,MCOP,7,14.937546
70,MCOP,8,16.439758
70,MCOP,9,16.21797
70,MCOP,10,16.734307
70,MCOP,11,15.895008
70,MCOP,12,16.21826
70,MCOP,13,16.145579
70,MCOP,14,16.458274
70,MCOP,15,15.32871
70,MCOP,16,16.153959
70,MCOP,17,16.64826
70,MCOP,18,16.934392
70,MCOP,19,16.396583
70,MCOP,20,15.094435
90,MCOP,1,17.985261
90,MCOP,2,19.89841
90,MCOP,3,18.513647
90,MCOP,4,20.323226
90,MCOP,5,19.21941
90,MCOP,6,20.486326
90,MCOP,7,21.572671
90,MCOP,8,19.439235
90,MCOP,9,19.3869
90,MCOP,10,20.488156
90,MCOP,11,20.537307
90,MCOP,12,21.159068
90,MCOP,13,19.691655
90,MCOP,14,18.882955
90,MCOP,15,19.507521
