Flows,Scheme,Run,Value
10,QSroute,1,9.112888
10,QSroute,2,9.399311
10,QSroute,3,10.548128
10,QSroute,4,10.430518
10,QSroute,5,9.239816
10,QSroute,6,9.77628
10,QSroute,7,10.231744
10,QSroute,8,10.196247
10,QSroute,9,9.186416
10,QSroute,10,10.130005
10,QSroute,11,9.696074
10,QSroute,12,10.599334
10,QSroute,13,9.89991
10,QSroute,14,10.179644
10,QSroute,15,9.94544
10,QSroute,16,10.333222
10,QSroute,17,9.615965
10,QSroute,18,10.334127
10,QSroute,19,10.604481
10,QSroute,20,10.91778
30,QSroute,1,13.489869
30,QSroute,2,12.164924
30,QSroute,3,12.860719
30,QSroute,4,13.004686
30,QSroute,5,12.868778
30,QSroute,6,12.970924
30,QSroute,7,12.764965
30,QSroute,8,12.159215
30,QSroute,9,12.629444
30,QSroute,10,13.029242
30,QSroute,11,12.788503
30,QSroute,12,11.814779
30,QSroute,13,11.951489
30,QSroute,14,12.244224
30,QSroute,15,12.371992
30,QSroute,16,12.598296
30,QSroute,17,11.889316
30,QSroute,18,12.996847
30,QSroute,19,11.339022
30,QSroute,20,12.830439
50,QSroute,1,14.867237
50,QSroute,2,14.966972
50,QSroute,3,12.276434
50,QSroute,4,13.521775
50,QSroute,5,14.244295
50,QSroute,6,14.622004
50,QSroute,7,14.440991
50,QSroute,8,13.910034
50,QSroute,9,15.430207
50,QSroute,10,14.734921
50,QSroute,11,14.213803
50,QSroute,12,13.784011
50,QSroute,13,14.549455
50,QSroute,14,15.412558
50,QSroute,15,14.525505
50,QSroute,16,14.476766
50,QSroute,17,14.548055
50,QSroute,18,14.587447
50,QSroute,19,14.33094
50,QSroute,20,13.79468
70,QSroute,1,20.452564
70,QSroute,2,19.605618
70,QSroute,3,21.011277
70,QSroute,4,19.472678
70,QSroute,5,18.780273
70,QSroute,6,18.101455
70,QSroute,7,18.686504
70,QSroute,8,17.904704
70,QSroute,9,20.992949
70,QSroute,10,18.98382
70,QSroute,11,19.746754
70,QSroute,12,19.91387
70,QSroute,13,20.026869
70,QSroute,14,21.420476
70,QSroute,15,18.909359
70,QSroute,16,18.827231
70,QSroute,17,19.156256
70,QSroute,18,19.711114
70,QSroute,19,19.169933
70,QSroute,20,18.744591
90,QSroute,1,22.176672
90,QSroute,2,22.109498
90,QSroute,3,23.309894
90,QSroute,4,21.85129
90,QSroute,5,20.913863
90,QSroute,6,23.132525
90,QSroute,7,24.337024
90,QSroute,8,23.761083
90,QSroute,9,22.979429
90,QSroute,10,23.463452
90,QSroute,11,21.105817
90,QSroute,12,22.206914
90,QSroute,13,24.929779
90,QSroute,14,24.361737
90,QSroute,15,22.181691
90,QSroute,16,25.017459
90,QSroute,17,22.174425
90,QSroute,18,22.053329
90,QSroute,19,24.766305
90,QSroute,20,24.503901
10,QARM,1,8.735148
10,QARM,2,8.97791
10,QARM,3,8.846235
10,QARM,4,9.226862
10,QARM,5,9.705326
10,QARM,6,9.23947
10,QARM,7,8.948743
10,QARM,8,8.394165
10,QARM,9,9.350083
10,QARM,10,8.449674
10,QARM,11,8.91579
10,QARM,12,9.431206
10,QARM,13,9.365051
10,QARM,14,9.377421
10,QARM,15,9.314515
10,QARM,16,9.065637
10,QARM,17,9.13597
10,QARM,18,9.041432
10,QARM,19,9.21716
10,QARM,20,9.240856
30,QARM,1,11.576664
30,QARM,2,11.795443
30,QARM,3,11.106228
30,QARM,4,11.3235
30,QARM,5,11.632537
30,QARM,6,12.60602
30,QARM,7,11.80417
30,QARM,8,11.422527
30,QARM,9,11.373371
30,QARM,10,11.927895
30,QARM,11,11.444075
30,QARM,12,11.866494
30,QARM,13,11.794172
30,QARM,14,10.783505
30,QARM,15,11.771851
30,QARM,16,11.767734
30,QARM,17,11.958084
30,QARM,18,11.018677
30,QARM,19,12.129113
30,QARM,20,11.404091
50,QARM,1,14.292378
50,QARM,2,14.139081
50,QARM,3,12.604761
50,QARM,4,12.110008
50,QARM,5,13.453208
50,QARM,6,12.46702
50,QARM,7,13.74588
50,QARM,8,13.34441
50,QARM,9,12.055154
50,QARM,10,13.508342
50,QARM,11,13.089213
50,QARM,12,13.267873
50,QARM,13,13.99063
50,QARM,14,12.915551
50,QARM,15,13.492714
50,QARM,16,12.611047
50,QARM,17,12.627027
50,QARM,18,12.858204
50,QARM,19,12.596752
50,QARM,20,13.36911
70,QARM,1,17.275821
